X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,Machining_Process,tool_condition
151.0,0.075,37.5,151.0,0.0,0.0,0.878,0.0377,327.0,1.56,7.5e-06,73.0,0.025,6.25,73.0,0.0,0.0,-0.1,0.0184,325.0,1.82,1.77e-06,30.2,-5.88,-25.0,30.1,-6.0,0.0,-360.0,15.8,98.3,-360.0,16.6,100.0,56.7,2.56,318.0,44.9,0.15,1,0
151.0,-0.075,-37.5,151.0,0.0,0.0,0.664,0.0332,325.0,4.3,3.56e-06,73.0,-0.075,-31.3,73.0,0.0,0.0,1.98,0.0194,324.0,0.51,-3.39e-06,29.5,-5.8,-12.5,29.5,-2.67,778.0,-358.0,26.3,88.5,-358.0,27.0,100.0,54.7,2.41,317.0,72.8,0.231,1,0
151.0,-6.0,6.25,150.0,-6.0,0.0,-8.1,0.0983,323.0,10.2,0.00126,73.0,0.05,25.0,73.0,0.0,0.0,-0.0991,0.0258,322.0,1.1,1.7e-06,29.5,0.0,0.0,29.5,0.0,0.0,-355.0,35.9,98.9,-354.0,36.6,100.0,62.0,2.61,309.0,88.4,0.341,1,0
150.0,-6.15,-43.8,150.0,-6.0,0.0,-6.42,0.101,322.0,11.5,0.00126,73.0,0.05,18.8,73.0,0.0,0.0,0.22,0.034,322.0,1.29,-3.55e-06,29.5,0.0,0.0,29.5,0.0,0.0,-351.0,45.9,125.0,-350.0,46.6,100.0,59.0,2.65,306.0,109.0,0.441,1,0
149.0,-5.93,62.5,149.0,-6.0,0.0,-6.67,0.098,325.0,14.2,0.00118,73.0,-0.1,-50.0,73.0,0.0,0.0,1.18,0.0209,324.0,2.25,-1.26e-06,29.5,0.0,0.0,29.5,0.0,0.0,-345.0,53.7,-51.0,-345.0,53.3,-9.54e-07,9.37,0.389,324.0,112.0,0.0746,1,0
149.0,-5.93,-12.5,149.0,-6.0,0.0,-5.99,0.113,325.0,13.6,0.00144,73.0,0.05,31.3,73.0,0.0,0.0,-5.37,0.0413,325.0,8.21,0.0,29.5,0.0,0.0,29.5,0.0,0.0,-340.0,53.2,-54.8,-340.0,53.3,0.0,27.3,1.2,320.0,117.0,0.231,1,0
148.0,-5.9,12.5,148.0,-6.0,0.0,-5.65,0.0976,326.0,13.9,0.00121,73.0,0.05,25.0,73.0,0.0,0.0,6.29,0.0396,325.0,6.91,1.69e-07,29.5,0.0,0.0,29.5,0.0,0.0,-335.0,53.3,10.3,-335.0,53.3,0.0,22.8,0.917,319.0,116.0,0.176,1,0
148.0,-5.82,62.5,147.0,-6.0,0.0,-5.9,0.0915,326.0,14.6,0.00111,73.0,-0.025,-12.5,73.0,0.0,0.0,1.98,0.0201,325.0,0.263,-3.05e-07,29.5,0.0,0.0,29.5,0.0,0.0,-329.0,53.3,-21.8,-329.0,53.3,0.0,20.6,0.872,322.0,120.0,0.168,1,0
147.0,-6.2,-75.0,147.0,-6.0,0.0,-3.92,0.0813,326.0,12.7,0.00104,73.0,0.025,12.5,73.0,0.0,0.0,1.66,0.0375,325.0,0.731,-6.28e-07,29.5,0.0,0.0,29.5,0.0,0.0,-324.0,53.3,21.8,-324.0,53.3,-9.54e-07,21.9,0.979,320.0,117.0,0.189,1,0
146.0,-5.9,-25.0,146.0,-6.0,0.0,-6.86,0.123,326.0,14.6,0.00154,73.0,0.0,0.0,73.0,0.0,0.0,6.13,0.0553,325.0,7.42,-2.01e-06,29.5,0.0,0.0,29.5,0.0,0.0,-319.0,53.3,-13.3,-319.0,53.3,0.0,27.0,0.906,319.0,119.0,0.172,1,0
